Insured Name	Underwriter Name	Producing Underwriter Name	Inception Date	Inception Year	Expiry Date	Bound Date	Producing Mosaic Entity	Class of Business	Service Company	Agreement YOA	FON Date	Accumulates on Agreement	Accumulates on Dec	Carrier Reference	Master Policy Number	Policy Reference	Policy Line Reference	2610 Policy Line Reference	Is Third Party Capacity Deployed?	Unique Market Reference	Asta UMR (Agreement)	Master Broker	Broker Name	Broker Key	Obligor	Commodity	Fund Code (as per XFI)	Reinsured	Renewal Date	Policy Period Days	Tenor in Months	Method of Placement (MOP)	Mapped Method of Placement (MOP)	Territory	Insured Domicile	Insured State	Reinsured Domicile	Lloyds Industrial Sector Code	Lloyds Industrial Sector Description	Mosaic Occupation Code	Mosaic Occupation Description	Occupation Source Code	Occupation Source Description	Occupation Code	Occupation Description	NAICS Code	NAICS Description	Bank/Non Bank	Slip Lead	Bureau Lead	Written Line (%)	Agency Line/Share (%)	Signed Line Adjustment	Avg Agency Line/Share (%) 	Mosaic 1609 line (%)	Mosaic 2610 Line (%)	Avg Mosaic 1609 Line (%)	Avg Mosaic 2610 Line (%)	Mosaic 1609 Order (%)	Limit Currency	Limit (Original Currency)	Limit (USD)	Type of Layer	Enterprise Value (Original)	Enterprise Value (USD)	Excess (Original Currency)	Excess (USD)	Deductible (Original Currency)	Deductible (USD)	100% Gross or Estimated Written Premium (Original Currency)	Premium Currency	100% Gross or Estimated Written Premium (USD)	100% Gross or Estimated Written Premium by YOA (USD)	100% Minimum or Deposit Premium (Original Currency)	Class	Premium Type	Lloyds Risk Code	Agency GELR (%)	Mosaic GELR (%)	Brokerage (%)	Ceding Commission (%)	Third Party Coverholder Commission (%)	Consortium Commission (%)	Original Commission (%)	Mosaic 1609 Agency Commission (%)	Mosaic 1609 Total Commission (%)	Third Party Agency Commission (%)	Third Party Total Commission (%)	Agency Share Gross Written Premium (Original Currency)	Mosaic 1609 Share Gross Written Premium (Original Currency)	Business Plan Loss Ratio (%)	Mosaic 1609 Share Benchmark Premium (Original Currency)	Mosaic 1609 Share Benchmark Premium (USD)	Achieved Price (%)	Mosaic 1609 Exposure (Original Currency)	Mosaic 1609 Share Gross Written Premium (GBP)	Mosaic 1609 Original Commission Amount (GBP)	Mosaic 1609 Agency Commission Amount (GBP)	Mosaic 1609 Expected claims (Original Currency)	Mosaic 1609 Expected claims (USD)	Mosaic 1609 Expected claims (GBP)	Mosaic 1609 Expected claims by YOA (GBP)	Agency Expected claims (Original Currency)	Agency Expected claims (USD)	Agency Expected claims (GBP)	Agency Expected claims by YOA (GBP)	Mosaic 1609 Exposure (USD)	Mosaic 1609 Share Gross Written Premium (USD)	Mosaic 1609 Original Commission Amount (USD)	Mosaic 1609 Agency Commission Amount (USD)	Agency Share Gross Written Premium (USD)	Agency Exposure (Original Currency)	Agency Exposure (USD)	Mosaic 1609 Total Commission (USD)	Mosaic 1609 Exposure by YOA (USD)	 Mosaic 1609 Share Gross Written Premium by YOA (USD) 	Mosaic 1609 Original Commission Amount by YOA (USD)	Agency Share Gross Written Premium by YOA (USD)	Agency Exposure by YOA (USD)	Mosaic 1609 Total Commission by YOA (USD)	Mosaic 1609 Share Gross Written Premium by YOA (GBP)	Mosaic 1609 Original Commission Amount by YOA (GBP)	Mosaic 1609 Agency Commission Amount by YOA (GBP)	Booking Completed Date	Policy Created By	Date Written	Peer Reviewer	Peer Reviewed Date	Assets Under Management	Asset Size	Jurisdiction Country	Jurisdiction State	Cyber Clause Status	Clause Code	Clause Title	Rev/ Turnover (Original Currency)	No. of Employees	Policy Status	Ops Mapped Status	XFI-Policy Level Status	XFI-Policy Activity Status	XFI-Policy Line Status	Renewal Status	Defense Costs Covered	Onshore/Offshore	Limit Basis	Renewal Found in XFI	Renewed Policy Line Reference	Reinstatement Applicable	No of Reinstatement	Risk Adjusted Rate Change (%)	Expired Gross Premium (USD) 100% of Previous Policy	Expired Gross Premium Agency (USD) of previous policy	Mosaic 1609 Expired Gross Premium (USD) of Previous policy	Amount Paid By Insured (USD)	Net Premium (USD)	Amount Paid By Insured by YOA (USD)	Net Premium by YOA (USD)
Verdanta Chemicals Ltd	Lindqvist, Sara	Lindqvist, Sara	08/10/2025	2025	06/01/2027	27/09/2025	Mosaic UK	Political Violence	Mosaic UK	2025		Yes		DEMO00001AA		DEMO00001	DEMO00001AA			BDEMO00001		Marsh	Marsh Limited	9207					07/01/2027	456	15	Line Slip (Non-Binding)	Open Market	Worldwide	Netherlands			10005	B. MINING AND QUARRYING	MOS033	Mining					212290	Other Metal Ore Mining		Hiscox Syndicates Ltd	Lloyds Ark Syndicate Management Limited	4.17%	4.17%			4.17%				100.00%	USD	50000000	$50,000,000.00	Primary				$0.00			156778	USD	$156,778.00			War and Terrorism	M&D & Estimate	2T, AO, AP		36.72%	20.00%				20.00%							44.79%				2085000					$1,961.00							$2,085,000.00	$6,538.00																	Demo Generator	02/10/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Ironvale Manufacturing Inc	Lindqvist, Sara	Lindqvist, Sara	08/11/2025	2025	07/11/2026	11/10/2025	Mosaic UK	Political Violence	Mosaic UK	2025		Yes		DEMO00002AA		DEMO00002	DEMO00002AA			BDEMO00002		Marsh	Marsh Limited	2056					08/11/2026	365	12	Direct	Open Market	Worldwide with USA exclusions	United Kingdom			10013	H. TRANSPORTATION AND STORAGE	MOS028	Transport					488310	Port and Harbor Operations		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	1.50%	1.50%			1.50%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			988056	USD	$988,056.00			War and Terrorism	M&D & Estimate	2T, AO, AP		33.14%	20.00%				20.00%							40.20%				3750000					$4,446.00							$3,750,000.00	$14,821.00																	Demo Generator	19/10/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Cobalt Ridge Mining Corp	Delgado, Marta	Delgado, Marta	20/12/2025	2025	18/09/2026	02/12/2025	Mosaic UK	Political Violence	Mosaic UK	2025		Yes		DEMO00003AA		DEMO00003	DEMO00003AA			BDEMO00003		Aon	Aon Limited	3714					19/09/2026	273	9	Open Market	Facility/DUA	Worldwide excluding USA	United Kingdom			10005	B. MINING AND QUARRYING	MOS017	Mining					212290	Other Metal Ore Mining		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	2.50%	2.50%			2.50%				100.00%	USD	500000000	$500,000,000.00	Primary				$0.00			588953	USD	$588,953.00			War and Terrorism	M&D & Estimate	2T, AO, AP		20.94%	20.00%				20.00%							56.86%				12500000					$4,417.00							$12,500,000.00	$14,724.00																	Demo Generator	01/12/2025	Delgado, Marta				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Thornfield Industries SA	Lindqvist, Sara	Lindqvist, Sara	15/01/2026	2026	14/10/2026	04/01/2026	Mosaic UK	Political Violence	Mosaic UK	2026		Yes		DEMO00004AA		DEMO00004	DEMO00004AA			BDEMO00004		Aon	Aon Limited	7550					15/10/2026	273	9	Line Slip (Non-Binding)	Facility/DUA	Colombia	Switzerland			10007	H. TRANSPORTATION AND STORAGE	MOS007	Transport					488310	Port and Harbor Operations			Lloyds Ark Syndicate Management Limited	4.17%	4.17%			4.17%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			862623	USD	$862,623.00			War and Terrorism	M&D & Estimate	2T, AO, AP		35.09%	20.00%				20.00%							52.13%				10425000					$10,791.00							$10,425,000.00	$35,971.00																	Demo Generator	29/12/2025	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Bellweather Retail Group	Ashby, Rowan	Ashby, Rowan	24/02/2026	2026	23/02/2027	26/01/2026	Mosaic UK	Political Violence	Mosaic UK	2026		Yes		DEMO00005AA		DEMO00005	DEMO00005AA			BDEMO00005		Lockton	Lockton Limited	5115					24/02/2027	365	12	Open Market	Facility/DUA	Nigeria	Switzerland			10011	J. INFORMATION AND COMMUNICATION	MOS007	Technology					541512	Computer Systems Design Services		Beazley Furlonge Ltd	Lloyds Ark Syndicate Management Limited	4.17%	4.17%			4.17%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			363177	USD	$363,177.00			War and Terrorism	M&D & Estimate	2T, AO, AP		27.87%	20.00%				20.00%							47.72%				10425000					$4,543.00							$10,425,000.00	$15,144.00																	Demo Generator	11/02/2026	Delgado, Marta				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Sundial Hospitality Holdings	Delgado, Marta	Delgado, Marta	12/03/2026	2026	11/03/2027	13/02/2026	Mosaic UK	Political Violence	Mosaic UK	2026		Yes		DEMO00006AA		DEMO00006	DEMO00006AA			BDEMO00006		Marsh	Marsh Limited	1394					12/03/2027	365	12	Direct	Facility/DUA	Mexico	Netherlands			10005	H. TRANSPORTATION AND STORAGE	MOS031	Transport					488310	Port and Harbor Operations		Beazley Furlonge Ltd	Lloyds Ark Syndicate Management Limited	4.17%	4.17%			4.17%				100.00%	USD	2000000000	$2,000,000,000.00	Excess				$0.00			7698440	USD	$7,698,440.00			War and Terrorism	M&D & Estimate	2T, AO, AP		21.70%	20.00%				20.00%							46.51%				83400000					$96,307.00							$83,400,000.00	$321,025.00																	Demo Generator	02/03/2026	Ashby, Rowan				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Corvid Logistics BV	Ashby, Rowan	Ashby, Rowan	18/10/2025	2025	17/10/2026	24/09/2025	Mosaic UK	Political Violence	Mosaic UK	2025		Yes		DEMO00007AA		DEMO00007	DEMO00007AA			BDEMO00007		Marsh	Marsh Limited	7835					18/10/2026	365	12	Line Slip (Non-Binding)	Facility/DUA	Indonesia	United States	New York		10018	B. MINING AND QUARRYING	MOS017	Mining					212290	Other Metal Ore Mining		Beazley Furlonge Ltd	Lloyds Ark Syndicate Management Limited	2.50%	2.50%			2.50%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			1009162	USD	$1,009,162.00			War and Terrorism	M&D & Estimate	2T, AO, AP		33.72%	20.00%				20.00%							49.05%				6250000					$7,569.00							$6,250,000.00	$25,229.00																	Demo Generator	11/10/2025	Delgado, Marta				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Fairmount Property Trust	Lindqvist, Sara	Lindqvist, Sara	19/11/2025	2025	18/11/2026	28/10/2025	Mosaic UK	Political Violence	Mosaic UK	2025		Yes		DEMO00008AA		DEMO00008	DEMO00008AA			BDEMO00008		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	7591					19/11/2026	365	12	Direct	Open Market	Peru	Netherlands			10007	B. MINING AND QUARRYING	MOS038	Mining					212290	Other Metal Ore Mining		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	1.50%	1.50%			1.50%				100.00%	USD	1000000000	$1,000,000,000.00	Primary				$0.00			2590532	USD	$2,590,532.00			War and Terrorism	M&D & Estimate	2T, AO, AP		39.78%	20.00%				20.00%							59.55%				15000000					$11,657.00							$15,000,000.00	$38,858.00																	Demo Generator	17/11/2025	Ashby, Rowan				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Kestrel Commodity Trading Pte Ltd	Okafor, Chidi	Okafor, Chidi	18/12/2025	2025	16/09/2026	21/11/2025	Mosaic UK	Political Violence	Mosaic UK	2025		Yes		DEMO00009AA		DEMO00009	DEMO00009AA			BDEMO00009		Gallagher	Gallagher Limited	6808					17/09/2026	273	9	Direct	Open Market	Chile	Singapore			10010	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS017	Energy					221118	Other Electric Power Generation		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	7.50%	7.50%			7.50%				100.00%	USD	25000000	$25,000,000.00	Excess				$0.00			56681	USD	$56,681.00			War and Terrorism	M&D & Estimate	2T, AO, AP		29.51%	20.00%				20.00%							57.01%				1875000					$1,275.00							$1,875,000.00	$4,251.00																	Demo Generator	03/12/2025	Delgado, Marta				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Northwind Resources SA	Delgado, Marta	Delgado, Marta	05/01/2026	2026	04/01/2027	11/12/2025	Mosaic UK	Political Violence	Mosaic UK	2026		Yes		DEMO00010AA		DEMO00010	DEMO00010AA			BDEMO00010		Lockton	Lockton Limited	3045					05/01/2027	365	12	Line Slip (Non-Binding)	Open Market	United States	Netherlands			10000	C. MANUFACTURING	MOS038	Manufacturing					325199	All Other Basic Organic Chemical Manufacturing			Lloyds Ark Syndicate Management Limited	5.00%	5.00%			5.00%				100.00%	USD	25000000	$25,000,000.00	Excess				$0.00			82077	USD	$82,077.00			War and Terrorism	M&D & Estimate	2T, AO, AP		24.88%	20.00%				20.00%							55.40%				1250000					$1,231.00							$1,250,000.00	$4,104.00																	Demo Generator	31/12/2025	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
